,date,국고채(3년),"회사채(3년, AA-)",spread_pp,spread_z
215,2021-12-01,1.8,2.41,0.6100000000000001,-0.1837341813182422
216,2022-01-01,2.06,2.632,0.5720000000000001,-0.2570414916663028
217,2022-02-01,2.285,2.873,0.5880000000000001,-0.2261752557302773
218,2022-03-01,2.369,3.028,0.6589999999999998,-0.08920633376416474
219,2022-04-01,2.941,3.631,0.69,-0.029403001638115114
220,2022-05-01,3.019,3.775,0.7559999999999998,0.09792022159798967
221,2022-06-01,3.477,4.233,0.7559999999999998,0.09792022159798967
222,2022-07-01,3.238,4.126,0.8880000000000003,0.352566668070201
223,2022-08-01,3.247,4.227,0.9800000000000004,0.5300475247023476
224,2022-09-01,3.903,4.9,0.9970000000000003,0.5628429003843745
225,2022-10-01,4.235,5.436,1.2009999999999996,0.956387408568698
226,2022-11-01,3.895,5.487,1.592,1.7106810492553215
227,2022-12-01,3.63,5.302,1.6719999999999997,1.8650122289354483
228,2023-01-01,3.46,4.704,1.2439999999999998,1.0393404176467667
229,2023-02-01,3.47,4.274,0.8039999999999998,0.19051892940606618
230,2023-03-01,3.461,4.184,0.7230000000000003,0.03425860997993813
231,2023-04-01,3.263,4.072,0.8090000000000002,0.2001646281360748
232,2023-05-01,3.33,4.139,0.8090000000000002,0.2001646281360748
233,2023-06-01,3.548,4.356,0.8079999999999998,0.19823548839007257
234,2023-07-01,3.638,4.437,0.7990000000000004,0.1808732306760593
235,2023-08-01,3.727,4.5,0.7730000000000001,0.13071559728001741
236,2023-09-01,3.842,4.602,0.7600000000000002,0.10563678058199691
237,2023-10-01,4.031,4.827,0.7960000000000003,0.1750858114380543
238,2023-11-01,3.771,4.583,0.8120000000000003,0.2059520473740798
239,2023-12-01,3.35,4.076,0.7259999999999995,0.04004602921794142
240,2024-01-01,3.266,4.013,0.7469999999999999,0.08055796388397554
241,2024-02-01,3.351,4.053,0.702,-0.006253324686095985
242,2024-03-01,3.31,3.944,0.6339999999999999,-0.13743482741420437
243,2024-04-01,3.439,3.974,0.5350000000000001,-0.32841966226836156
244,2024-05-01,3.432,3.876,0.44399999999999995,-0.5039713791545068
245,2024-06-01,3.262,3.708,0.4460000000000002,-0.5001130996625033
246,2024-07-01,3.083,3.542,0.45899999999999963,-0.4750342829644836
247,2024-08-01,2.924,3.418,0.4940000000000002,-0.4075143918544267
248,2024-09-01,2.868,3.448,0.5800000000000001,-0.24160837369829005
249,2024-10-01,2.911,3.486,0.5750000000000002,-0.2512540724282978
250,2024-11-01,2.858,3.428,0.5699999999999998,-0.2608997711583064
251,2024-12-01,2.59,3.236,0.6460000000000004,-0.1142851504621844
252,2025-01-01,2.571,3.229,0.6579999999999999,-0.09113547351016613
253,2025-02-01,2.611,3.206,0.5949999999999998,-0.21267127750826678
254,2025-03-01,2.59,3.161,0.5710000000000002,-0.2589706314123042
255,2025-04-01,2.395,2.98,0.585,-0.2319626749682823
256,2025-05-01,2.331,2.908,0.577,-0.24739579293629504
257,2025-06-01,2.441,2.98,0.5390000000000001,-0.3207031032843552
258,2025-07-01,2.465,2.957,0.492,-0.41137267134643035
259,2025-08-01,2.427,2.914,0.4870000000000001,-0.4210183700764381
260,2025-09-01,2.464,2.926,0.4620000000000002,-0.4692468637264777
261,2025-10-01,2.601,3.028,0.42700000000000005,-0.5367667548365337
262,2025-11-01,2.88,3.299,0.41900000000000004,-0.5521998728045465
263,2025-12-01,3.01,3.502,0.492,-0.41137267134643035
264,2026-01-01,3.044,3.545,0.5009999999999999,-0.3940104136324162
